,University,Degree,Avg_Attendance,Avg_Study_time_per_day,Extracurricular_Activities,Avg_sleep_time,Household_Size,Workout,Free_time_Activity,University_society_member,Parents_Highest_Qaulification,GPA,field
0,FAST UNIVERSITY,Bsc,90% - 100%,2-3 hours,SPORTS,5-7 hours,5-6 members,"Yes, regularly",Reading,No,Master's Degree,3.0 - 3.9,BS-AI
1,FAST UNIVERSITY,Bsc,90% - 100%,2-3 hours,SPORTS,5-7 hours,5-6 members,"Yes, regularly",Watching TV/Movies,Yes,Master's Degree,3.0 - 3.9,BS-AI
2,FAST UNIVERSITY,Bsc,90% - 100%,2-3 hours,GAMING,5-7 hours,5-6 members,"Yes, regularly",Watching TV/Movies,No,Master's Degree,3.0 - 3.9,BS-AI
3,FAST UNIVERSITY,Bsc,80%-90%,5-6 hours,ACADEMIC CLUBS,5-7 hours,3-4 members,Occasionally,Watching TV/Movies,Yes,Bachelor's Degree,2.0 - 2.9,BS-CS
4,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS,5-7 hours,5-6 members,"No, I don't",Watching TV/Movies,No,Master's Degree,3.0 - 3.9,BS-AI
5,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS;VOLUNTEER WORK,5-7 hours,3-4 members,Occasionally,Socializing with Friends,No,Master's Degree,2.0 - 2.9,BS-AI
6,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,No Activity,5-7 hours,5-6 members,Occasionally,Playing Games,No,Master's Degree,3.0 - 3.9,BS-AI
7,FAST UNIVERSITY,Bsc,80%-90%,Less than 1 hour,SPORTS,5-7 hours,5-6 members,Occasionally,Playing Games,Yes,Bachelor's Degree,2.0 - 2.9,BS-AI
8,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS,Less than 5 hours,5-6 members,"No, I don't",Socializing with Friends,No,High School Diploma or Below,2.0 - 2.9,BS-AI
9,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS,5-7 hours,5-6 members,"No, I don't",Reading,No,High School Diploma or Below,3.0 - 3.9,BS-AI
10,FAST UNIVERSITY,Bsc,80%-90%,3-4 hours,WORK,5-7 hours,5-6 members,"No, I don't",Socializing with Friends,Yes,High School Diploma or Below,3.0 - 3.9,BS-AI
11,FAST UNIVERSITY,Bsc,80%-90%,5-6 hours,SPORTS,Less than 5 hours,7 or more members,Occasionally,Socializing with Friends,No,Master's Degree,2.0 - 2.9,BS-AI
12,FAST UNIVERSITY,Bsc,70%-80%,Less than 1 hour,WORK,5-7 hours,3-4 members,"No, I don't",Socializing with Friends,No,Master's Degree,3.0 - 3.9,BS-AI
13,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,SPORTS,5-7 hours,3-4 members,Occasionally,Watching TV/Movies,No,Master's Degree,2.0 - 2.9,BS-CYS
14,INSTITUTE OF BUSINESS ADMINISTRATION,Bsc,90% - 100%,1-2 hours,ARTS AND CULTURE,7-9 hours,3-4 members,"No, I don't",drawing,Yes,Bachelor's Degree,3.0 - 3.9,BS-CS
15,FAST UNIVERSITY,Bsc,80%-90%,3-4 hours,SPORTS,Less than 5 hours,5-6 members,"No, I don't",Watching TV/Movies,No,Bachelor's Degree,2.0 - 2.9,BS-CS
16,OVAIS BIN AMER ,Bsc,80%-90%,1-2 hours,SPORTS,7-9 hours,3-4 members,"Yes, regularly",Socializing with Friends,Yes,Master's Degree,2.0 - 2.9,BS-CS
17,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,No Activity,Less than 5 hours,3-4 members,"No, I don't",Watching TV/Movies,Yes,Bachelor's Degree,2.0 - 2.9,BS
18,FAST UNIVERSITY,Bsc,90% - 100%,1-2 hours,SPORTS;ACADEMIC CLUBS,Less than 5 hours,5-6 members,"No, I don't",Watching TV/Movies,Yes,Master's Degree,3.0 - 3.9,BS-AI
19,BAHRIA UNIVERSITY,Bsc,90% - 100%,Less than 1 hour,SPORTS;ACADEMIC CLUBS,More than 9 hours,5-6 members,"Yes, regularly",Watching TV/Movies,Yes,Master's Degree,3.0 - 3.9,BBA
20,FAST UNIVERSITY,Bsc,90% - 100%,5-6 hours,VOLUNTEER WORK,5-7 hours,3-4 members,Occasionally,Socializing with Friends,No,Master's Degree,2.0 - 2.9,BS-AI
